Vorname	Nachname	Abteilung
Stefan	Krueger	Geschaeftsfuehrung
Yasmine	Alaoui	Geschaeftsfuehrung
Michael	Weber	Vertrieb
Sara	Bennani	Vertrieb
Thomas	Schneider	Vertrieb
Amina	Tazi	Vertrieb
Daniel	Hoffman	Vertrieb
Karim	Idrissi	Vertrieb
Julia	Becker	Vertrieb
Omar	Berrada	Vertrieb
Christian	Wagner	Einkauf
Leila	Fassi	Einkauf
Andreas	Schulz	Einkauf
Nadia	Chraibi	Einkauf
Peter	Zimmermann	Einkauf
Laura	Fischer	Buchhaltung
Mehdi	Sekkat	Buchhaltung
Anna	Braun	Buchhaltung
Youssef	Amrani	Buchhaltung
Katrin	Vogel	Buchhaltung
